timestep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	lx	hpmc_overlap_count	hpmc_patch_energy	time	temp
88770000	0.1853448276	0.2470119522	0.03631564235	0.03915631144	12	0	-13635.73145	39267.04626	0.8949541618
88780000	0.1330935252	0.1569343066	0.03746427988	0.04072949343	12	0	-13586.06934	39282.94271	0.8949541618
88790000	0.19140625	0.1904761905	0.0365525815	0.03990502587	12	0	-13690.02539	39298.65575	0.8949541618
88800000	0.1742738589	0.2258064516	0.03679043928	0.04002689941	12	0	-13736.88086	39314.37191	0.8949541618
88810000	0.1412639405	0.1894273128	0.03720409596	0.04074183239	12	0	-13639.8623	39330.20383	0.8949541618
88820000	0.1666666667	0.1701244813	0.03694563127	0.04040419589	12	0	-13704.82715	39346.34375	0.8949541618
88830000	0.1986062718	0.1697416974	0.03647416618	0.0395116059	12	0	-13628.8877	39362.048	0.8949541618
88840000	0.1612903226	0.1561181435	0.03784310706	0.04074196898	12	0	-13658.7666	39377.95792	0.8949541618
88850000	0.188976378	0.2293577982	0.03643525036	0.03961928531	12	0	-13630.09082	39393.55892	0.8949541618
88860000	0.1957446809	0.2195121951	0.03716492709	0.0400139243	12	0	-13688.65723	39409.22274	0.8949541618
88870000	0.1939163498	0.2304347826	0.0374212524	0.04065386196	12	0	-13705.7793	39425.20057	0.8949541618
88880000	0.2192982456	0.2100840336	0.03694381707	0.04015592904	12	0	-13710.77148	39441.10665	0.8949541618
88890000	0.2235294118	0.1746031746	0.03755049002	0.04112282466	12	0	-13660.19824	39456.87429	0.8949541618
88900000	0.2051282051	0.21	0.03708500357	0.04065336094	12	0	-13596.06543	39472.7066	0.8949541618
88910000	0.2346153846	0.2008032129	0.03680801004	0.04006901527	12	0	-13761.67578	39488.40785	0.8949541618
88920000	0.2716535433	0.2285714286	0.03611736943	0.03932486837	12	0	-13685.94238	39504.08019	0.8949541618
88930000	0.2342007435	0.2529644269	0.03661586011	0.04003856825	12	0	-13716.03223	39519.61162	0.8949541618
88940000	0.1818181818	0.2627737226	0.03614097065	0.03902455193	12	0	-13732.6416	39535.28395	0.8949541618
88950000	0.2139917695	0.1737451737	0.03728000132	0.04061300361	12	0	-13637.65625	39550.84241	0.8949541618
88960000	0.1517509728	0.2313432836	0.03548002639	0.03890841802	12	0	-13775.38184	39566.59729	0.8949541618
88970000	0.1865671642	0.1591836735	0.03618937618	0.04000498496	12	0	-13680.40527	39582.28691	0.8949541618
88980000	0.2454873646	0.2269230769	0.03727553666	0.04029046916	12	0	-13704.43262	39598.07028	0.8949541618
88990000	0.2113207547	0.2222222222	0.03717419665	0.0405463419	12	0	-13643.25977	39613.77182	0.8949541618
89000000	0.1923076923	0.2123552124	0.03681199186	0.04020956186	12	0	-13605.66992	39629.36432	0.8949541618
89010000	0.2387387387	0.2352941176	0.03723314075	0.0403072671	12	0	-13650.09375	39645.09235	0.8949541618
89020000	0.185840708	0.2071713147	0.0366083244	0.03973522938	12	0	-13626.20312	39660.50368	0.8949541618
89030000	0.1950207469	0.171314741	0.03649217063	0.04005874098	12	0	-13707.59668	39676.19275	0.8949541618
89040000	0.2459677419	0.2392026578	0.0368911717	0.04033926833	12	0	-13777.80078	39691.8116	0.8949541618
89050000	0.187250996	0.1576576577	0.03687150998	0.03975064093	12	0	-13650.27441	39707.32085	0.8949541618
89060000	0.1944444444	0.2070707071	0.03688838839	0.03984000327	12	0	-13637.08594	39723.0165	0.8949541618
89070000	0.2190082645	0.17578125	0.03589867933	0.03940141554	12	0	-13774.73828	39738.50508	0.8949541618
89080000	0.2246696035	0.2008196721	0.03627109692	0.03965589832	12	0	-13682.01758	39754.2474	0.8949541618
89090000	0.178030303	0.1749174917	0.03667436117	0.03969126762	12	0	-13761.55664	39769.89563	0.8949541618
89100000	0.1969111969	0.1841004184	0.03603975558	0.03906096945	12	0	-13702.33105	39785.53672	0.8949541618
89110000	0.2316176471	0.2342657343	0.03682043182	0.04002092982	12	0	-13702.89844	39800.7726	0.8949541618
89120000	0.2212389381	0.1594202899	0.03688198704	0.04016449378	12	0	-13680.42969	39816.33836	0.8949541618
89130000	0.2181069959	0.1967871486	0.03742190634	0.04119882951	12	0	-13610.2793	39832.00006	0.8949541618
89140000	0.2007042254	0.2333333333	0.03595682306	0.03933091786	12	0	-13681.68457	39847.7219	0.8949541618
89150000	0.1870503597	0.2050359712	0.03697336617	0.04012812094	12	0	-13821.28613	39863.3325	0.8949541618
89160000	0.2123076923	0.1971830986	0.03699253903	0.04044292083	12	0	-13698.0625	39878.66639	0.8949541618
89170000	0.1580756014	0.1647940075	0.03676948503	0.04025445534	12	0	-13680.37402	39894.20506	0.8949541618
89180000	0.2370689655	0.2413793103	0.03663841389	0.03992025745	12	0	-13567.4541	39909.88703	0.8949541618
89190000	0.1705685619	0.213740458	0.03713264896	0.04046042142	12	0	-13523.26855	39925.38172	0.8949541618
89200000	0.2099236641	0.1794871795	0.03608187991	0.03897613078	12	0	-13736.74316	39940.91143	0.8949541618
89210000	0.1908396947	0.1715210356	0.03612563736	0.03947265052	12	0	-13695.02539	39956.63935	0.8949541618
89220000	0.2370689655	0.247148289	0.03676789941	0.04023020045	12	0	-13637.23926	39972.17716	0.8949541618
89230000	0.2093023256	0.1747211896	0.03705959815	0.04004011513	12	0	-13664.9873	39987.48089	0.8949541618
89240000	0.1515151515	0.1853146853	0.03669041163	0.03983207075	12	0	-13623.01465	40003.10324	0.8949541618
89250000	0.1818181818	0.1827586207	0.03643688166	0.03979493316	12	0	-13766.38184	40018.64153	0.8949541618
89260000	0.268	0.1952191235	0.0364171566	0.03932910383	12	0	-13709.07617	40033.97814	0.8949541618
89270000	0.1715481172	0.2032520325	0.03681125065	0.04020635304	12	0	-13584.80273	40049.81991	0.8949541618
89280000	0.2021276596	0.196	0.03668430139	0.03965479943	12	0	-13667.40723	40065.32614	0.8949541618
89290000	0.24	0.202247191	0.03585625769	0.03917703255	12	0	-13640.71777	40080.99601	0.8949541618
89300000	0.1581027668	0.2243346008	0.03771419913	0.04121280531	12	0	-13660.90039	40096.74552	0.8949541618
89310000	0.1821705426	0.1978798587	0.03665565893	0.04020065842	12	0	-13735.37988	40112.42509	0.8949541618
89320000	0.1691729323	0.1554770318	0.03703588615	0.0400348357	12	0	-13662.13867	40128.19843	0.8949541618
